	freebase_ids	nominations
0	/m/0436kgz	Academy Award for Best Actor,European Film Award – People's Choice Award for Best European Film,MTV Movie Award for Best Fight,European Film Award for Best Actor,European Film Academy Achievement in World Cinema Award,Tony Award for Best Actor in a Musical
1	/m/061zc_	Filmfare Award for Best Actor,Filmfare Award for Best Actor,Filmfare Award for Best Actor,Filmfare Award for Best Actor,Filmfare Award for Best Actor,Filmfare Award for Best Actor,Filmfare Award for Best Actor,Filmfare Award for Best Actor,Filmfare Award for Best Actor,Filmfare Award for Best Actor
2	/m/0h1_w	Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor,Tony Award for Best Actor in a Play
3	/m/016fjj	Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor,Tony Award for Best Actor in a Play,Tony Award for Best Actor in a Musical
4	/m/01f7dd	Academy Award for Best Actor,Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor
5	/m/03vfjv	César Award for Best Supporting Actress,Goya Award for Best Actress,Jameson People's Choice Award for Best Actress,César Award for Best Supporting Actress,Silver Bear for Best Actress,Goya Award for Best Supporting Actress,Silver Shell for Best Actress,Silver Shell for Best Actress,Goya Award for Best Actress,Goya Award for Best Actress,Goya Award for Best Actress,Goya Award for Best Actress,Goya Award for Best Actress,Goya Award for Best Actress,Goya Award for Best Actress
6	/m/0blbxk	Primetime Emmy Award for Outstanding Lead Actress in a Miniseries or a Movie,NAACP Image Award for Outstanding Supporting Actress in a Motion Picture,NAACP Image Award for Outstanding Supporting Actress in a Motion Picture,Satellite Award for Best Actress – Miniseries or Television Film,BET Award for Best Actor & Actress,Broadcast Film Critics Association Award for Best Supporting Actress,MTV Movie Award for Best Breakthrough Performance,Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role,Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series,Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series,Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,BET Award for Best Actor & Actress,Satellite Award for Best Supporting Actress – Motion Picture,BET Award for Best Actor & Actress,BET Award for Best Actor & Actress,BET Award for Best Actor & Actress,BET Award for Best Actor & Actress,NAACP Image Award for Outstanding Supporting Actress in a Drama Series,Academy Award for Best Supporting Actress,MTV Movie Award for Best Kiss,Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,Broadcast Film Critics Association Award for Best Cast,NAACP Image Award for Outstanding Supporting Actress in a Motion Picture,NAACP Image Award for Outstanding Actress in a Motion Picture,NAACP Image Award for Outstanding Actress in a Motion Picture,NAACP Image Award for Outstanding Actress in a Drama Series,MTV Movie Award for Best Female Performance,BET Award for Best Actor & Actress,BET Award for Best Actor & Actress,BET Award for Best Actor & Actress,BET Award for Best Actor & Actress,NAACP Image Award for Outstanding Actress in a Television Movie, Mini-Series or Dramatic Special
7	/m/04znsy	Academy Award for Best Supporting Actress
8	/m/028pzq	Un certain regard Award,Scream Award for Breakout Performance - Female
9	/m/0173p_	Academy Award for Best Actress,Academy Award for Best Actress
10	/m/015gy7	Academy Award for Best Actor,Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor
11	/m/0785v8	Academy Award for Best Supporting Actor
12	/m/02fbpz	IIFA Award for Best Supporting Actor
13	/m/0g4_nd0	
14	/m/0gc8y44	
15	/m/07hpqm	
16	/m/03jnxt8	
17	/m/0d15j6	
18	/m/0cg5bly	
19	/m/0k1vd2	
20	/m/03jny8b	
21	/m/0k56qf	
22	/m/02xyxp	
23	/m/043q4nc	
24	/m/01ngvm	
25	/m/0bgcht7	
26	/m/03jny0_	
27	/m/02r5d3j	
28	/m/03jny09	
29	/m/0bg70sm	
30	/m/0bgchsp	
31	/m/05pxr49	
32	/m/03wcfv7	
33	/m/09d6hv	
34	/m/0gbwd90	
35	/m/05pvb4j	
36	/m/0g4tydx	
37	/m/02hkw6	
38	/m/03jnyhz	
39	/m/026xrvd	
40	/m/03nrwdy	
41	/m/0dw3l	
42	/m/0gbxsl5	
43	/m/0gbxl2y	
44	/m/03jny2n	
45	/m/03d8cc3	
46	/m/01lntp	
47	/m/02v1vq	
48	/m/053j7xf	
49	/m/04ghdvq	
50	/m/03jnyff	
51	/m/0bwqq2	
52	/m/0jtg3n	
53	/m/0gc46rx	
54	/m/0bgcj4f	
55	/m/04jn0yf	
56	/m/02w09gx	
57	/m/07g4h_	
58	/m/0gdk_8f	
59	/m/06lj1m	
60	/m/01mrs8	
61	/m/0418ft	
62	/m/0lr37gh	
63	/m/03jnyld	
64	/m/04fd3kh	
65	/m/0fdctd	
66	/m/09rnmn	
67	/m/03jny4j	
68	/m/06s5pl	
69	/m/03jnxps	
70	/m/07l4md	
71	/m/07jbhb	
72	/m/0chg_3	
73	/m/07kt8y	
74	/m/02l6dy	
75	/m/07w41wk	
76	/m/0c03p6l	
77	/m/03jnydd	
78	/m/0g4_ncc	
79	/m/0jt1q2	
80	/m/08w75d	
81	/m/0gcjn9v	
82	/m/0g4_ncv	
83	/m/027dv5t	
84	/m/04mz092	
85	/m/0k56qm	
86	/m/0k0jml	
87	/m/03jnxy8	
88	/m/05wxzz	
89	/m/01qbb_	
90	/m/0g4_nc5	
91	/m/06_1tj	
92	/m/03z8yd9	
93	/m/07m08h	
94	/m/0gc0mkw	
95	/m/03ccs9p	
96	/m/02qyp1n	
97	/m/01vw8mh	
98	/m/0ks8b0	
99	/m/02q288g	
100	/m/01l1b90	
101	/m/0k0jn4	
102	/m/03jny68	
103	/m/03jny56	
104	/m/06w3ls	
105	/m/01y9xg	
106	/m/0g4tyd8	
107	/m/034hyc	
108	/m/03jny6z	
109	/m/0gc9cpb	
110	/m/07tcjt	
111	/m/041b8d	
112	/m/03cd25d	
113	/m/03jny7n	
114	/m/06prxs	
115	/m/04rfng	
116	/m/0h8pnlw	
117	/m/0g4_nb_	
118	/m/03jnybw	
119	/m/0576kw	
120	/m/0cg5b04	
121	/m/01vw26l	
122	/m/08y7b9	
123	/m/0cc9plh	
124	/m/0338ws	
125	/m/032zg9	
126	/m/026zpch	
127	/m/07gm7s	
128	/m/0gbwnxv	
129	/m/02vqm5_	
130	/m/094qth	
131	/m/0287qtg	
132	/m/0g4_ncy	
133	/m/0346l4	
134	/m/034c1p	
135	/m/01nz7jg	
136	/m/02q64y2	
137	/m/0grjc6	
138	/m/0g98ds4	
139	/m/0gc7tpd	
140	/m/02pnjkh	
141	/m/047twb3	
142	/m/05zqdwf	
143	/m/05zs55n	
144	/m/03d663h	
145	/m/0f2c8g	
146	/m/03wc_yl	
147	/m/0cmbfw3	
148	/m/0gcdnn4	
149	/m/0ccjr7	
150	/m/02149s	
151	/m/09wn3y	
152	/m/06mwbj	
153	/m/09k3x_	
154	/m/05cgxx	
155	/m/026qxz	
156	/m/0gdkhr3	
157	/m/0ddztn	
158	/m/0bwh7d8	
159	/m/0g4_nbq	
160	/m/0g4tydl	
161	/m/03ydsb	
162	/m/0cj0pq	
163	/m/01_x6d	
164	/m/0gdmgc6	
165	/m/01lr4p	
166	/m/0fy2s1	
167	/m/0fdb14	
168	/m/0dm38rk	
169	/m/0gz5hs	
170	/m/0gdl1sz	
171	/m/01q_wyj	
172	/m/03jny1r	
173	/m/03jnxtz	
174	/m/02pp77c	
175	/m/0g4_ncr	
176	/m/0jt1lz	
177	/m/0jlv5	
178	/m/0d26p8	
179	/m/0gc51t6	
180	/m/02qd2vx	
181	/m/0clffnj	
182	/m/02cm2m	
183	/m/03jnxrx	
184	/m/034dbm	
185	/m/03q8vb	
186	/m/08ynj7	
187	/m/03jnxww	
188	/m/09gctyq	
189	/m/0gct1by	
190	/m/0g4_nck	
191	/m/0g98dwd	
192	/m/03jnxvp	
193	/m/02d7rn	
194	/m/03jny3v	
195	/m/03jnxxl	
196	/m/0dxnfv	
197	/m/0gc83t8	
198	/m/03cxtgs	
199	/m/08392m	
200	/m/0hwqz	Academy Award for Best Supporting Actress,Golden Globe Award for Best Supporting Actress – Motion Picture,Satellite Award for Best Actress – Motion Picture Musical or Comedy,MTV Movie Award for Best Kiss,BAFTA Award for Best Actress in a Leading Role,BAFTA Award for Best Actress in a Supporting Role,Primetime Emmy Award for Outstanding Lead Actress in a Miniseries or a Movie,Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy,Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy,Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy,Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role,MTV Movie Award for Best Female Performance,Genie Award for Best Performance by a Foreign Actress
201	/m/0k9j_	Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor,Golden Globe Award for Best Actor – Motion Picture Drama,Golden Globe Award for Best Actor – Motion Picture Drama,Golden Globe Award for Best Actor – Motion Picture Drama,Golden Globe Award for Best Actor – Motion Picture Drama,Golden Globe Award for Best Actor – Motion Picture Drama,Golden Globe Cecil B. DeMille Award,Primetime Emmy Award for Outstanding Supporting Actor in a Miniseries or a Movie,Henrietta Award,Henrietta Award
202	/m/0lcf1	Academy Award for Best Actor
203	/m/0c92y	Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor
204	/m/01ycbq	Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor,Tony Award for Best Actor in a Play,Tony Award for Best Actor in a Play,Tony Award for Best Actor in a Play,Tony Award for Best Actor in a Play,Tony Award for Best Actor in a Play
205	/m/01qscs	Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor
206	/m/0hvb2	Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,Tony Award for Best Featured Actor in a Play
207	/m/018swb	Academy Award for Best Supporting Actor
208	/m/034x61	European Film Award – People's Choice Award for Best European Film
209	/m/02ymv4	Academy Award for Best Supporting Actress
210	/m/039whv	Academy Award for Best Supporting Actress,Academy Award for Best Supporting Actress,Tony Award for Best Actress in a Play,Tony Award for Best Actress in a Play,Tony Award for Best Actress in a Play,Tony Award for Best Actress in a Play,Tony Award for Best Featured Actress in a Play
211	/m/02__7n	European Film Award – People's Choice Award for Best European Film
212	/m/063gtr	Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture,Independent Spirit Award for Best Female Lead
213	/m/013bd1	Tony Award for Best Actor in a Play
214	/m/03zyvw	Tony Award for Best Actress in a Play,Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series
215	/m/01j5sd	Golden Raspberry Award for Worst Supporting Actor,Golden Raspberry Award for Worst Supporting Actor,Tony Award for Best Actor in a Play,Satellite Award for Best Actor – Television Series Drama,Drama Desk Award for Outstanding Actor in a Play,Primetime Emmy Award for Outstanding Lead Actor in a Drama Series,Primetime Emmy Award for Outstanding Lead Actor in a Drama Series,Tony Award for Best Actor in a Play,Tony Award for Best Actor in a Play,Satellite Award for Best Actor – Television Series Drama,AACTA Award for Best Actor in a Leading Role
216	/m/012g92	César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Supporting Actress,European Film Award for Best Actress,BAFTA Award for Most Promising Newcomer to Leading Film Roles,Jameson People's Choice Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Supporting Actress,Chlotrudis Award for Best Supporting Actress,European Film Award for Best Actress,European Film Award for Best Actress,European Film Award for Best Actress,Jameson People's Choice Award for Best Actress,Jameson People's Choice Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,César Award for Best Actress,Academy Award for Best Actress,National Society of Film Critics Award for Best Actress,David di Donatello for Best Foreign Actress
217	/m/0j582	Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor,Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie,Primetime Emmy Award for Outstanding Guest Actor in a Drama Series,Golden Globe Award for Best Actor – Motion Picture Drama,Golden Globe Award for Best Actor – Motion Picture Drama,Golden Raspberry Award for Worst Actor,Golden Globe Cecil B. DeMille Award,Primetime Emmy Award for Outstanding Lead Actor in a Drama Series
218	/m/05kh_	Golden Raspberry Award for Worst Supporting Actor,Academy Award for Best Writing, Original Screenplay,Academy Award for Best Director,Academy Award for Best Actor
219	/m/07y_r	Academy Award for Best Supporting Actor
220	/m/01pl9g	Golden Globe Award for Best Actress – Motion Picture Drama
221	/m/048lv	Tony Award for Best Actor in a Play,The Game Awards − Best Performance,Academy Award for Best Actor,Academy Award for Best Supporting Actor
222	/m/08r0q3	European Film Award for Best Actress,Jameson People's Choice Award for Best Actress
223	/m/0h1m9	Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress
224	/m/01w1kyf	Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Actress,Academy Award for Best Documentary Feature Film,Golden Raspberry Award for Worst Actress
225	/m/05vsxz	Academy Award for Best Actor,European Film Award for Best Actor
226	/m/02t_v1	Academy Award for Best Supporting Actor
227	/m/013846	Academy Award for Best Actor,Academy Award for Best Supporting Actor
228	/m/055jj1	Academy Award for Best Supporting Actress
229	/m/0412scr	Tony Award for Best Actor in a Play
230	/m/013823	Academy Award for Best Actor
231	/m/04f6fn	Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor
232	/m/01k109	Golden Globe Award for Best Actor – Motion Picture Musical or Comedy
233	/m/04x9b0	Academy Award for Best Supporting Actor
234	/m/01jr5h	NAACP Image Award for Outstanding Supporting Actor in a Motion Picture
235	/m/04x8_g	Academy Award for Best Supporting Actor
236	/m/03fpwp	Academy Award for Best Supporting Actor
237	/m/04x93v	Academy Award for Best Supporting Actor
238	/m/0807ml	The Game Awards − Best Performance
239	/m/0g9z_j9	Tony Award for Best Featured Actor in a Play
240	/m/03_nv3	
241	/m/03qcr2y	
242	/m/03y8mf2	
243	/m/0k36s5	
244	/m/0d1bq3	
245	/m/083p17	
246	/m/02_wnq	
247	/m/0gc13w6	
248	/m/04gqlx0	
249	/m/0gch_ws	
250	/m/03yft79	
251	/m/05pqxk	
252	/m/05wxj_z	
253	/m/02qjkcy	
254	/m/01wb7j_	
255	/m/0dtd8b	
256	/m/05qtcv	
257	/m/02jt4y	
258	/m/01w170v	
259	/m/03wlz0	
260	/m/05cl2w	
261	/m/07f3xb	
262	/m/04md2m	
263	/m/03gtq7t	
264	/m/04lrv3	
265	/m/01rjrwm	
266	/m/0gchxbs	
267	/m/0bwb3f8	
268	/m/033db3	
269	/m/05ztstb	
270	/m/07s8ksr	
271	/m/0309r1	
272	/m/0gd2n3	
273	/m/0c5qr	
274	/m/01sg96	
275	/m/0byzg7	
276	/m/05p05y3	
277	/m/0gb_czr	
278	/m/038xl6	
279	/m/0gbxqtt	
280	/m/0j1wnc8	
281	/m/0gbymnz	
282	/m/027kj6l	
283	/m/04gl1d0	
284	/m/03dmy0	
285	/m/0l8v5	
286	/m/0652ty	
287	/m/0gc4v9r	
288	/m/0bwb3g4	
289	/m/0gc27kf	
290	/m/04yg_0x	
291	/m/0dj2nf2	
292	/m/0cnxwrq	
293	/m/05vvl1	
294	/m/03xk1_	
295	/m/09g8835	
296	/m/01tnbn	
297	/m/071ydw	
298	/m/032wdd	
299	/m/01phkr	
300	/m/0jt3m3	
301	/m/0gbyyv0	
302	/m/0bxppg	
303	/m/03xxf9j	
304	/m/038bht	
305	/m/0c6mv6	
306	/m/0k36sl	
307	/m/0d6b35	
